,도로명,lat,lon
0,산현로92번길 20,37.6908174,126.7717939
0,고양대로 624,37.6481091,126.8725328
0,고양대로 622,37.6481091,126.8725328
0,일청로 75,37.6887577,126.7734449
0,일청로91번길 66,37.6916433,126.772889
0,강선로 169,35.1689463,128.9847303
0,일산로 612,37.6490894,126.7932673
0,후곡로 36,37.29668965,126.8474964
0,킨텍스로 456,37.6670225,126.7495069
0,후곡로 55,37.2956537,126.8494713
0,킨텍스로 410,37.67983625,126.7609935
0,후곡로 9,37.2972772,126.8448035
0,강선로 187,35.1689463,128.9847303
0,강선로 141,37.676119,126.7667121
0,후곡로 10,37.29695395,126.8446831
0,후곡로 35,37.29697665,126.8476802
0,경의로 605,37.73302255,126.7607997
0,강선로 188,37.6790995,126.7741836
0,강선로 164,35.1689463,128.9847303
0,일산로 488,37.6490894,126.7932673
0,강선로 142,37.6750198,126.7711991
0,일산로 487,37.67477135,126.7716316
0,후곡로 60,37.29527205,126.8494384
0,중앙로 1376,37.6672637,126.7669499
0,중앙로 1388,36.6527935,127.4876506
0,중앙로 1391,37.6677593,126.7650941
0,중앙로 1371,37.6672164,126.7657582
0,강선로 33,35.1689463,128.9847303
0,강선로 30,35.1689463,128.9847303
0,주화로 7,37.6700223,126.7600993
0,호수로 710,37.6270293,126.8007927
0,강선로 9,35.1689463,128.9847303
0,대산로 106,37.6898552,126.7367711
0,강선로 116,37.67350615,126.7702418
0,대산로 56,37.6898552,126.7367711
0,대산로 53,37.6898552,126.7367711
0,강선로 92,35.1689463,128.9847303
0,대산로 99,37.6898552,126.7367711
0,강선로 71,35.1689463,128.9847303
0,강선로 70,37.66954645,126.7674895
0,강성로 62,37.6645386,126.770639
0,주엽로 161,37.6673872,126.7553436
0,중앙로 1470,36.6527935,127.4876506
0,중앙로 1496,36.6527935,127.4876506
0,중앙로 1493,36.6527935,127.4876506
0,중앙로 1471,36.6527935,127.4876506
0,킨텍스로 300,37.6670225,126.7495069
0,주엽로 123,37.6673872,126.7553436
0,주엽로 122,37.6686062,126.7579925
0,주엽로 102,37.6673872,126.7553436
0,주엽로 101,37.6673872,126.7553436
0,킨텍스로 284,37.6695244,126.7537745
0,대산로 184,37.6898552,126.7367711
0,대산로 164,37.6898552,126.7367711
0,대산로 142,37.6750797,126.7630175
0,대산로 141,37.67314525,126.7621217
0,대산로 161,37.6898552,126.7367711
0,대산로 183,37.67612525,126.7562591
0,킨텍스로 340,37.67473505,126.7557952
0,주엽로 156,37.67195995,126.7604003
0,일현로 67,37.69331045,126.7637123
0,일현로 151,37.6932123,126.7639638
0,일현로 97-11,37.6932123,126.7639638
0,탄현로 136,37.0866664,127.0597137
0,탄현로 133,37.0866664,127.0597137
0,일현로 140,37.6932123,126.7639638
0,홀트로 57,37.694707,126.7695093
0,현중로 61,37.69641,126.7658323
0,일현로 70,37.6932123,126.7639638
0,탄현로 93,37.0866664,127.0597137
0,일현로 128,37.6932123,126.7639638
0,홀트로 11,37.694707,126.7695093
0,탄현로 64,37.0866664,127.0597137
0,현중로 33,37.6971058,126.766841
0,탄현로 80,37.0590353,127.053677
0,현중로 64,37.6971058,126.766841
0,산현로17번길 38,37.6897473,126.7630958
0,현중로 13,37.6971058,126.766841
0,산현로17번길 12,37.6897473,126.7630958
0,산현로 45,37.6911157,126.7697228
0,현중로 10,37.6971058,126.766841
0,현중로 5,37.6917516,126.7683654
0,별양상가3로 34,37.4255584,126.9923162
0,별양로 110,37.4305404,126.9989671
0,별양상가1로 10,37.4269603,126.9920902
0,별양로 163,37.4216236,126.9914176
0,별양로 66-11,37.4216236,126.9914176
0,별양로 85,37.4264868,126.9946373
0,별양로 111,37.4216236,126.9914176
0,별양로 164,37.4216236,126.9914176
0,별양로 180,37.4338855,127.001297
0,부림로 2,35.4614021,128.3185727
0,별양로 11,37.4216236,126.9914176
0,별양로 53,37.4216236,126.9914176
0,별양로 12,37.4216236,126.9914176
0,희망1길 45,37.431326,126.9905975
0,관문로 106,37.43162065,126.9929554
0,관문로 143,35.1584309,128.1154668
0,관문로 166,35.1584309,128.1154668
0,09월 24일,29.560617,52.6140699
0,새터로 44-8,35.8355637,127.1200617
0,새터로 44-7,35.8355637,127.1200617
0,광명로831번길 45,37.4741183,126.8478035
0,광명로 877,37.4422517,127.153911
0,목감로 58,37.4854251,126.8571329
0,광명로848번길 76-18,37.4722263,126.8520785
0,도덕로 79,37.4687277,126.8526488
0,광명로848번길 4-6,37.4722263,126.8520785
0,광명로848번길 66,37.4722263,126.8520785
0,목감로 96,37.4715393,126.8453703
0,도덕로 56,37.4687277,126.8526488
0,광명로848번길 54,37.4722263,126.8520785
0,새터로 78,35.8355553,127.1158885
0,광명로848번길 32-2,37.4722263,126.8520785
0,목감로 88,37.4854251,126.8571329
0,오리로397번길 12,37.4373991,126.8780656
0,소하로 38,37.4527011,126.885148
0,소하로 56,37.4527011,126.885148
0,소하로 9,37.4527011,126.885148
0,소하로 162,37.4527011,126.885148
0,신촌로 49,37.4891635,126.7120868
0,성채로 36,37.4318894,126.8837898
0,성채로 37,37.4318894,126.8837898
0,서원로 13,35.8136702,127.0950235
0,하안로 154,37.4425418,126.894899
0,하안로 204,37.4425418,126.894899
0,하안로 198,37.4425418,126.894899
0,영당로22번길 26,37.4361501,126.8770607
0,영당로22번길 19,37.4361501,126.8770607
0,금하로 529,37.453486,126.8976583
0,영당로22번길 5,37.4361501,126.8770607
0,기아로5번길 12,37.4369892,126.8803156
0,영당로21번길 22,37.4344066,126.875752
0,하안로 180-14,37.4425418,126.894899
0,오리로347번길 4,37.4338295,126.878571
0,영당로22번길 21-6,37.4361501,126.8770607
0,영당로22번길 21-8,37.4361501,126.8770607
0,광명역로 28,37.4206807,126.8882884
0,양지로 16,35.1681858,129.0693466
0,광명역로 26,37.41493915,126.8866904
0,양달로 7,35.2430232,129.0178376
0,양지로 7,35.1681858,129.0693466
0,가림일로 79,37.46849575,126.8650235
0,가림일로 101,37.46961945,126.8676393
0,사성로 91,37.4888503,126.8667982
0,사성로 123,37.4888503,126.8667982
0,도덕공원로 49,37.4739922,126.863569
0,도덕공원로 35,37.4739922,126.863569
0,철산로 13-12,37.4767709,126.8701577
0,시청로 139,37.3342467,127.9336231
0,가마산로 29,37.5022981,126.8998617
0,디지털로 63,37.4757835,126.8806032
0,철산로 57,37.4767709,126.8701577
0,디지털로 56,37.47301595,126.8734642
0,오리로 835,37.4836901,126.8411263
0,시청로 50,34.7834198,127.6626402
0,디지털로 24,37.4757835,126.8806032
0,디지털로 64,37.4757835,126.8806032
0,광덕산로 26,37.47035935,126.8725797
0,가림일로 61,37.468725,126.8658878
0,오리로 801,37.4836901,126.8411263
0,안현로 15,36.9885413,126.9339296
0,하안로 320,37.4425418,126.894899
0,하안로 318,37.4425418,126.894899
0,하안로 284,37.4425418,126.894899
0,안현로 35,35.8714295,129.2039126
0,안현로 34,35.8714295,129.2039126
0,안현로 36,35.8714295,129.2039126
0,가림로 38,37.4647983,126.8671573
0,금당로 11,37.3221373,127.6804476
0,금당로 13,37.3221373,127.6804476
0,하안로 237,37.4425418,126.894899
0,하안로 364,37.4425418,126.894899
0,가림일로 55,37.468725,126.8658878
0,포돌이로11번길 10,37.4137645,127.2500083
0,문화로101번길 9,37.4118797,127.2495831
0,경안로 106,35.8690824,128.7136721
0,오포로909번길 32-7,37.3715646,127.2277233
0,Jul-32,34.6719656,50.8658656
0,오포로 903,37.34459,127.18097
0,903,22.6785715,120.6801036
0,곤지암로11번길 11-10,37.3490601,127.3424914
0,곤지암로 120,37.3496688,127.3404155
0,곤지암로 108,37.3496688,127.3404155
0,경충대로 555-5,37.2349518,127.5197996
0,평촌길 20,35.181431,126.7280068
0,평촌길 17,36.755462,126.3326855
0,능평로 38,37.34959325,127.171657
0,38,45.28979315,5.634382477
0,수레실길 7,37.3511329,127.1639409
0,7,31.6048574,-8.3654032
0,능평로 193,37.34959325,127.171657
0,193,49.9204872,20.87336596
0,도척로 404-6,37.3031442,127.3299751
0,회안대로 90,37.3800705,127.2387832
0,90,47.62923095,6.899301157
0,이배재로 179-13,37.4324117,127.1917057
0,오포로 627-19,37.34459,127.18097
0,627-19,33.3101846,44.3265123
0,봉골길 82,37.3507322,127.2073221
0,82,44.080656,1.205063296
0,고불로 453,37.3956333,127.234196
